,wt-SNE 1,wt-SNE 2,class
0,-0.20223053940082136,-12.432552768452158,1
1,6.178753949386221,10.826657051504599,0
2,-4.0874858433834,-19.73795860182482,0
3,16.63741643246619,14.999991686100781,1
4,-1.65248632345765,-19.926374637140345,1
5,19.60461743242521,-2.434335901826777,0
6,4.79830873293829,21.341675160173537,0
7,-2.1738087584065227,14.983498628979877,1
8,-7.974736810241709,-6.503455171376,1
9,18.4428689237419,-11.79668424284899,0
10,9.133554366439329,-8.971049693993706,0
11,10.177377104688897,-1.7036815782736068,1
12,-20.56130167438615,9.689804826950448,1
13,-1.674858350959801,-6.6224965371622835,0
14,20.978909065071964,6.349373054714809,0
15,20.004778730075557,11.76935678611527,1
16,14.421034478796436,-7.48972411918036,1
17,10.954832341850604,-13.1050892153091,0
18,-13.595232129825693,-9.071590668976786,0
19,14.169172578886984,10.570847925815878,1
20,1.3940734581998138,-15.269510279790378,1
21,6.2207428054246225,19.538161071261978,0
22,-17.48339074025443,-1.6382260011376468,0
23,-3.917617451540989,3.590909346466182,1
24,-4.15135102485568,-16.73005904126777,1
25,-12.151411017827384,-3.1991715763428554,0
26,9.672073138911689,10.023847795546146,0
27,-12.278005955219891,-13.06507987003129,1
28,0.45792617339460145,-15.71121459560772,1
29,-12.181391694728378,0.21832712785729452,0
30,-10.491774934822748,-8.47915942117273,0
31,-16.72091686639363,9.744747953318084,1
32,2.475455822892485,-9.14969383714373,1
33,-2.8990637798880536,-0.2148374404281996,0
34,12.328022752842733,4.219907585853609,0
35,-8.259897463848223,-3.833030827217673,1
36,12.440488372333379,-2.757396593207606,1
37,5.203463161278255,7.841334301836309,0
38,7.464913265360092,5.825847560276927,0
39,-10.251699088306154,-12.481616038763523,1
40,-0.6105343841284686,3.4527737618997416,1
41,-11.600502299186767,16.19268237359743,0
42,20.804838881718776,5.932399827676775,0
43,-6.798322684293864,16.84076832659621,1
44,13.92157234981781,-1.4200150605440183,1
45,-10.260980411491886,-20.870258099256265,0
46,-17.515728674287093,4.227054428545799,0
47,-10.408484267425303,-5.821416482814579,1
48,-6.390389209593885,-5.605784089292676,1
49,3.3183938060735776,12.03792480031111,0
50,14.764114440939927,15.242038493254816,0
51,-5.58151339059633,14.693256646214977,1
52,-3.713549826931215,-9.9195656299048,1
