Feature,weights
rel1,0.006525706493130243
rel2,0.018845487310040824
rel3,0.020018804678193888
rel4,0.026757462554256272
rel5,0.004891192680475304
rel6,0.04606569042006268
rel7,0.0
rel8,0.04020530781354336
rel9,0.06868202441561809
rel10,0.037154695207392334
rel11,0.11108260526946169
rel12,0.04319188241570359
rel13,0.12670454934690153
rel14,0.07546120076564938
rel15,0.1120807559987807
irrel1,0.005264470500879241
irrel2,0.00452833748549735
irrel3,0.0
irrel4,0.0005848185552756797
irrel5,0.005040717532513914
irrel6,0.003590914696727578
irrel7,0.004345485910905709
irrel8,0.0014390225656767638
irrel9,0.005705569011431749
irrel10,0.0
irrel11,0.0014311858829453904
irrel12,0.003216862905209692
irrel13,0.0009960760269052272
irrel14,0.0042593639339535885
irrel15,0.0013080622193783707
irrel16,0.0
irrel17,0.0017379707861224782
irrel18,0.0019262156945608925
irrel19,0.0
irrel20,0.003967084849617813
irrel21,0.0004999999999999965
irrel22,6.691000880153893e-18
irrel23,0.0045404365910317
irrel24,0.0035967371217811035
irrel25,0.0013800396222132404
irrel26,0.0037371034625472543
irrel27,0.0
irrel28,0.0
irrel29,0.005272800866351943
irrel30,0.0
irrel31,0.009271755731994612
irrel32,0.0
irrel33,0.00528746323340844
irrel34,0.001300251912941867
irrel35,0.0006523492003393513
irrel36,0.0
irrel37,0.00264420852119575
irrel38,0.0
irrel39,0.0
irrel40,0.0
irrel41,0.0
irrel42,0.005348696781146168
irrel43,0.004532370490254641
irrel44,0.0005482570270224248
irrel45,0.001956717821047513
irrel46,0.005487194683604662
irrel47,0.00013743333087463014
irrel48,0.0025403459972752227
irrel49,0.001168979412522146
irrel50,0.004636671969540278
irrel51,0.0
irrel52,0.001683438020653043
irrel53,0.0
irrel54,2.517248101902894e-17
irrel55,0.0005943536404160388
irrel56,0.005932885524243612
irrel57,0.0
irrel58,2.945778309574243e-17
irrel59,0.0
irrel60,0.0010500048125091578
irrel61,0.0013598928002081536
irrel62,0.0
irrel63,0.0026991159344560587
irrel64,0.0006845350423754828
irrel65,0.0
irrel66,0.005761553457363047
irrel67,6.669908895197269e-19
irrel68,0.0
irrel69,0.0014019220857773849
irrel70,0.003505545698498492
irrel71,0.0
irrel72,0.002364638413542538
irrel73,0.001435496761468855
irrel74,4.296744972855587e-05
irrel75,0.0018799803474423538
irrel76,0.0
irrel77,0.0025423728813559147
irrel78,0.00032008774040685875
irrel79,0.0
irrel80,0.0010443904111724093
irrel81,0.0
irrel82,0.0
irrel83,0.002711215925345413
irrel84,0.0
irrel85,0.0012048192771084256
irrel86,0.005460983548525301
irrel87,0.0
irrel88,0.0012279395849500733
irrel89,0.007618846836183136
irrel90,0.002049921438322629
irrel91,0.0
irrel92,0.0035054397521692648
irrel93,0.0006588780609667497
irrel94,0.0022634165328662306
irrel95,0.0
irrel96,0.0012723875229940266
irrel97,0.0
irrel98,0.0
irrel99,0.0
irrel100,0.0
irrel101,0.0025174611304760778
irrel102,0.001956305573954086
irrel103,0.0
irrel104,0.0
irrel105,0.003005549212256172
irrel106,0.0031488966096217224
irrel107,0.003982449677517177
irrel108,0.0006859104222059645
irrel109,0.0030534737940781788
irrel110,0.004613909417120501
irrel111,0.0014884850085451309
irrel112,0.0011116686978755875
irrel113,0.0014620124371955581
irrel114,0.007661654293125728
irrel115,0.0
irrel116,0.003845732935582261
irrel117,0.005265152908444861
irrel118,0.0
irrel119,0.006632017781141015
irrel120,0.0004970085470085436
irrel121,2.09805925913414e-18
irrel122,0.0014794301077486868
irrel123,0.00786578818961011
irrel124,0.0
irrel125,0.0018961989400700589
irrel126,0.002062971795645315
irrel127,0.0009999999999999994
irrel128,3.6381780153255785e-19
irrel129,0.0007256977583507406
irrel130,0.0
irrel131,0.0035161285833915337
irrel132,1.5916386280189785e-18
irrel133,0.007292977447086951
irrel134,0.0017830609212481307
irrel135,0.007623690605746465
