Feature,weights
rel1,0.006291930840706977
rel2,0.005615683871181147
rel3,0.021719008044487117
rel4,0.019295544818710642
rel5,0.0013457922248469706
rel6,0.027336647935944182
rel7,0.046046523209171436
rel8,0.004505400755602709
rel9,0.013073392669491628
rel10,0.03392024947381132
rel11,0.14439192489338076
rel12,0.10037569900845159
rel13,0.036134481646031294
rel14,0.15092241646783805
rel15,0.11640961096787623
irrel1,0.0010739915734859005
irrel2,0.0034932323255549846
irrel3,0.00025790790176413774
irrel4,0.005014024053444176
irrel5,0.001607190846418412
irrel6,0.0014335149429200978
irrel7,7.595072254286253e-19
irrel8,0.0013635674945880027
irrel9,0.0012892402574962631
irrel10,0.0
irrel11,0.002502073664422071
irrel12,0.0
irrel13,0.001254564126391178
irrel14,0.001436037248907038
irrel15,0.0027274677372599878
irrel16,0.002128526365907833
irrel17,0.0
irrel18,0.0051629368933318025
irrel19,0.0
irrel20,0.004186401483996216
irrel21,0.00023097974040415351
irrel22,0.004901219656811474
irrel23,0.0019037736857842526
irrel24,0.0038953793964568674
irrel25,0.0
irrel26,0.003042273440417894
irrel27,0.002270182294426654
irrel28,0.0
irrel29,0.001868543433315669
irrel30,0.0
irrel31,0.0019858857579994576
irrel32,0.00012870403006330348
irrel33,0.0
irrel34,0.001599506611945074
irrel35,0.002985742617459935
irrel36,0.0024031422322001654
irrel37,0.0
irrel38,0.0013244166641445398
irrel39,0.0035919072330376977
irrel40,0.0009687331389692342
irrel41,0.0
irrel42,0.004953371149153184
irrel43,0.0007468365990522439
irrel44,0.0034926992073424897
irrel45,0.005485333012183414
irrel46,0.003055143320258893
irrel47,0.0012303126607978577
irrel48,0.0037668070686930357
irrel49,0.0
irrel50,0.001919065498539833
irrel51,0.0
irrel52,0.001009811816002341
irrel53,0.0
irrel54,0.007945126437136938
irrel55,0.0007931584940674025
irrel56,0.004051197437656312
irrel57,0.003501179654667923
irrel58,0.0018892124916128836
irrel59,0.004906102296614671
irrel60,0.0039319233290357304
irrel61,0.0
irrel62,0.001748706645917184
irrel63,0.0033823912204256857
irrel64,0.0006933421941551644
irrel65,0.0
irrel66,0.0006748178770989853
irrel67,0.0005919394347196818
irrel68,0.00257642966271631
irrel69,0.0005997265652274126
irrel70,0.008281146489512121
irrel71,0.0
irrel72,0.0018195706791157118
irrel73,0.0
irrel74,0.0004875921743625988
irrel75,0.0022473992234763353
irrel76,0.0036727506651276194
irrel77,0.011226107314321892
irrel78,0.0011714856405451296
irrel79,0.0006812339034193316
irrel80,0.001362740654556868
irrel81,0.0021170213787093436
irrel82,0.0
irrel83,0.0
irrel84,0.002581598821817232
irrel85,0.0
irrel86,0.0049821957410820595
irrel87,0.0
irrel88,0.0019873277906270665
irrel89,0.0
irrel90,0.002240509797156731
irrel91,0.0004919786096256657
irrel92,0.002006189301896403
irrel93,0.0015310079955384187
irrel94,0.000760640179468687
irrel95,0.0025313675268936035
irrel96,0.0034278422860698167
irrel97,0.0018906302721304659
irrel98,0.0007606401794686871
irrel99,0.006798882240718426
irrel100,0.0034287977453200933
irrel101,0.007492451454555448
irrel102,0.0
irrel103,0.0
irrel104,0.005461096147405858
irrel105,0.0
irrel106,0.00016634380323853146
irrel107,0.0
irrel108,0.0
irrel109,0.0017735610467804184
irrel110,0.0007283292940805469
irrel111,0.008270270800810765
irrel112,0.001174920902078552
irrel113,0.007394059762203577
irrel114,0.0024742428836527267
irrel115,0.0005187783293762086
irrel116,0.003916801957822566
irrel117,0.0015851997983648853
irrel118,0.00048759217436259675
irrel119,0.0
irrel120,0.0
irrel121,0.0009966206956737614
irrel122,0.0
irrel123,0.006800021684437256
irrel124,0.0019686769133968104
irrel125,0.0
irrel126,0.0010021434364499927
irrel127,0.0
irrel128,0.008175628360062024
irrel129,0.0006810437917491333
irrel130,0.0038067790098451036
irrel131,0.001966850171207829
irrel132,0.0008615481494214849
irrel133,0.001816819692017524
irrel134,0.0029378263236849397
irrel135,0.0006957290564291064
